|Sl No.|District|Block|Gram Panchayat|Village|Household|
4342|PASCHIM MEDINIPUR|Debra|DEBRA-II|Chak Kunar (445)|573|
4343|HOWRAH|Amta - II|BINOLA KRISHNABATI|Chak Kundalia (70)|266|
4344|NADIA|Kaliganj|HATGACHHA|Chak Kuturia (57)|0|
4345|NORTH 24 PARAGANAS|Baduria|SAYESTANAGAR-I|Chak Labanga (109)|17|
4346|SOUTH 24 PARAGANAS|Kulpi|KEORATALA|Chak Lakshmipur (218)|88|
4347|PASCHIM MEDINIPUR|Pingla|KARKAI-IV|Chak Lal (185)|47|
4348|PASCHIM BARDHAMAN|Faridpur Durgapur|LAUDOHA|Chak Laudoha (22)|0|
4349|NADIA|Nakashipara|MAJHER GRAM|Chak Madandanga (15)|86|
4350|PASCHIM MEDINIPUR|Sabang|BISNUPUR|Chak Madhab (406)|400|
4351|DAKSHIN DINAJPUR|Balurghat|AMRIT KHANDA|Chak Madhab (253)|109|
4352|NADIA|Karimpur - I|MADHUGARI|Chak Madhubona (100)|114|
4353|DAKSHIN DINAJPUR|Tapan|RAMCHANDRAPUR|Chak Madhusudan (180)|127|
4354|SOUTH 24 PARAGANAS|Mathurapur - I|MATHURAPUR PURBA|Chak Madhusudanpur (59)|274|
4355|NADIA|Kaliganj|MATIARY|Chak Maheshpur (79)|111|
4356|HOWRAH|Domjur|UTTAR JHAPARDAHA|Chak Mahishjol (2)|0|
4357|MALDAH|Kaliachak - III|GOLAPGANJ|Chak Mailpur (178)|255|
4358|HOOGHLY|Goghat - I|SEORAH|Chak Mamrej (115)|213|
4359|PURULIA|Raghunathpur - II|BARRAH|CHAK MANGLA (30)|0|
4360|SOUTH 24 PARAGANAS|Budge Budge - II||Chak Manik (58)|1,102|
4361|SOUTH 24 PARAGANAS|Budge Budge - II|CHAKMANIK|Chak Manik (58)|1,102|
4362|DAKSHIN DINAJPUR|Hilli|JAMALPUR|Chak Maniko (76)|39|
4363|DAKSHIN DINAJPUR|Tapan|DWIPKHANDA|Chak Maniram (149)|9|
4364|SOUTH 24 PARAGANAS|Kulpi|KAMARCHAK|Chak Manohari (32)|163|
4365|NADIA|Karimpur - I|PIPUL BARIA|Chak Marua (142)|258|
4366|JALPAIGURI|Mal|MOULANI|Chak Maulani (93)|651|
4367|BANKURA|Indus|INDAS-II|Chak Meral (30)|111|
4368|NADIA|Chakdah|DEWLI|Chak Mirjapur (132)|65|
4369|DAKSHIN DINAJPUR|Hilli|DHALPARA|Chak Mohan (41)|222|
4370|BANKURA|Onda|NAKAIJURI|Chak Muktapur (172)|101|
4371|BIRBHUM|Mohammad Bazar|MAHAMMAD BAZAR|Chak Mukunda (122)|0|
4372|PASCHIM MEDINIPUR|Sabang|DANRRA|Chak Mukunda (159)|84|
4373|MALDAH|Gazole|KARKACH|Chak Musadanga (159)|31|
4374|BANKURA|Saltora|PABRA|Chak Mushlia (87)|12|
4375|PURBA BARDHAMAN|Jamalpur|ABUJHATI-II|Chak Muzafarpur (121)|466|
4376|SOUTH 24 PARAGANAS|Budge Budge - I|UTTAR RAIPUR|Chak Nabasan (20)|799|
4377|BANKURA|Onda|NAKAIJURI|Chak Nakaijuri (281)|524|
4378|PURBA BARDHAMAN|Memari - I|NIMO-I|Chak Nara (134)|877|
4379|SOUTH 24 PARAGANAS|Magrahat - I|SRICHANDA|Chak Naraharipur (62)|288|
4380|PURBA BARDHAMAN|Memari - II|BIJUR-II|Chak Narayan (106)|41|
4381|HOWRAH|Domjur|PARBATIPUR|Chak Narna (7)|52|
4382|NADIA|Karimpur - I|KARIMPUR-II|Chak Natna (83)|43|
4383|DAKSHIN DINAJPUR|Tapan|GOFANAGAR|Chak Nedair (129)|97|
4384|NADIA|Nakashipara|NAKASHIPARA|Chak Nischintapur (59)|0|
4385|SOUTH 24 PARAGANAS|Bishnupur - I|ANDHARMANIK|Chak Nitai (125)|389|
4386|SOUTH 24 PARAGANAS|Bishnupur - I||Chak Nitai (125)|389|
4387|NADIA|Ranaghat - I|TARAPUR|Chak Noapara (193)|0|
4388|SOUTH 24 PARAGANAS|Bishnupur - I||Chak Nursikdar (128)|529|
4389|SOUTH 24 PARAGANAS|Bishnupur - I|PANAKUA|Chak Nursikdar (128)|529|
4390|PASCHIM MEDINIPUR|Sabang|DEBHOG|Chak Palsa (173)|91|
4391|SOUTH 24 PARAGANAS|Kulpi|KAMARCHAK|Chak Parameshwari (33)|74|
4392|SOUTH 24 PARAGANAS|Budge Budge - II||Chak Paran (59)|571|
4393|SOUTH 24 PARAGANAS|Budge Budge - II|CHAKMANIK|Chak Paran (59)|571|
4394|SOUTH 24 PARAGANAS|Magrahat - II|MOHANPUR|Chak Parankanta Khali (17)|1,984|
4395|SOUTH 24 PARAGANAS|Magrahat - II||Chak Parankanta Khali (17)|1,984|
4396|BANKURA|Saltora|PABRA|Chak Paruri (88)|111|
4397|SOUTH 24 PARAGANAS|Basanti|BHARATGARH|Chak Pitambar Dutta (154)|465|
4398|DAKSHIN DINAJPUR|Tapan|DWIPKHANDA|Chak Prabhuram (148)|221|
4399|NADIA|Krishnaganj|GOBINDAPUR|Chak Pratappur (6)|10|
4400|MALDAH|Kaliachak - II|MOTHABARI|Chak Protappur (126)|441|
4401|NADIA|Nakashipara|BILKUMARI|Chak Purbba Simulia (38)|0|
4402|BANKURA|Indus|SAHASPUR|Chak Rabia (77)|270|
4403|DAKSHIN DINAJPUR|Tapan|HARSURA|Chak Radhakanta (91)|28|
4404|NADIA|Santipur|HARIPUR|Chak Raghunathpur (19)|894|
4405|PURBA BARDHAMAN|Purbasthali - I|SAMUDRAGARH|Chak Rahatpur (137)|816|
4406|PASCHIM MEDINIPUR|Sabang|NOWGAN|Chak Rajib (307)|0|
4407|SOUTH 24 PARAGANAS|Thakurpukur Mahestola|RASAPUNJA|Chak Rajumolla (18)|498|
4408|DAKSHIN DINAJPUR|Balurghat|CHAK BHRIGU|Chak Ramanath (94)|5|
4409|PASCHIM BARDHAMAN|Ondal|MADANPUR|Chak Rambati (45)|304|
4410|SOUTH 24 PARAGANAS|Kulpi|KAMARCHAK|Chak Ramnath (180)|136|
4411|DAKSHIN DINAJPUR|Balurghat|BHATPARA|Chak Ramprosad (123)|221|
4412|DAKSHIN DINAJPUR|Kumarganj|RAMKRISHNAPUR|Chak Ramray (98)|514|
4413|SOUTH 24 PARAGANAS|Magrahat - I|IYARPUR|Chak Raypur (58)|536|
4414|SOUTH 24 PARAGANAS|Kulpi|ISWARIPUR|Chak Raypur (39)|0|
4415|SOUTH 24 PARAGANAS|Bishnupur - I||Chak Rosanmamud (111)|348|
4416|SOUTH 24 PARAGANAS|Bishnupur - I|KEORADANGA|Chak Rosanmamud (111)|348|
4417|SOUTH 24 PARAGANAS|Kulpi|RAMKISHORE|Chak Ruplaskar (7)|86|
4418|HOWRAH|Jagatballavpur|JAGATBALLAVPUR-I|Chak Sadat (17)|519|
4419|PASCHIM MEDINIPUR|Sabang|DASGRAM|Chak Safi (317)|467|
4420|SOUTH 24 PARAGANAS|Mathurapur - I|KRISHNACHANDRAPUR|Chak Sarberia (55)|36|
4421|DAKSHIN DINAJPUR|Tapan|GOFANAGAR|Chak Satihar (120)|129|
4422|MALDAH|Kaliachak - III|BEDRABAD|Chak Seherdi (59)|1,322|
4423|MALDAH|Kaliachak - III||Chak Seherdi (37)|660|
4424|MALDAH|Kaliachak - III|BEDRABAD|Chak Seherdi (37)|660|
4425|MALDAH|Kaliachak - III|BHAGABANPUR|Chak Seherdi (59)|1,322|
4426|MALDAH|Kaliachak - III|BHAGABANPUR|Chak Seherdi (37)|660|
4427|PURBA BARDHAMAN|Jamalpur|BERUGRAM|Chak Shanjadi (2)|692|
4428|UTTAR DINAJPUR|Kaliaganj|DHANKOIL|Chak Shibananda (46)|220|
4429|DAKSHIN DINAJPUR|Gangarampur|BASURIA|Chak Shibpur (17)|155|
4430|NADIA|Nakashipara|BIKRAMPUR|Chak Shukpukuria (26)|0|
4431|DAKSHIN DINAJPUR|Balurghat|BHATPARA|Chak Shyam (124)|183|
4432|NADIA|Krishnaganj|JOYGHATA|Chak Shyamnaar (18)|1,094|
4433|DAKSHIN DINAJPUR|Tapan|MALANCHA|Chak Sib (256)|30|
4434|PURBA MEDINIPUR|Nanda Kumar|KUMRCHAK|Chak Simultala (11)|181|
4435|PURBA MEDINIPUR|Nanda Kumar|CHAK SIMULIA|Chak Simulya (14)|1,189|
4436|SOUTH 24 PARAGANAS|Bishnupur - I||Chak Sitaram (115)|0|
4437|SOUTH 24 PARAGANAS|Bishnupur - I|PANAKUA|Chak Sitaram (115)|0|
4438|SOUTH 24 PARAGANAS|Bishnupur - II||Chak Srikrishnapur (36)|84|
4439|SOUTH 24 PARAGANAS|Bishnupur - II|RAMKRISHNAPUR BERHANPUR|Chak Srikrishnapur (36)|84|
4440|PURBA MEDINIPUR|Tamluk|UTTAR SONAMUI|Chak Srikrishnapur (273)|578|
4441|SOUTH 24 PARAGANAS|Mandirbazar|DHANURHAT|Chak Subuddhi (K) (79)|256|
4442|SOUTH 24 PARAGANAS|Bishnupur - II|BAKHRAHAT|Chak Sukdeb (45)|553|
4443|SOUTH 24 PARAGANAS|Bishnupur - II||Chak Sukdeb (45)|553|
4444|HOOGHLY|Dhaniakhali|DHANAKHALI-I|Chak Sultan (87)|395|
4445|PASCHIM MEDINIPUR|Daspur - I|NANDANPUR-II|Chak Sundar (143)|100|
4446|SOUTH 24 PARAGANAS|Kulpi|KAMARCHAK|Chak Tarabaidya (37)|488|
4447|NADIA|Chakdah|DUBRA|Chak Tengra (149)|0|
4448|NADIA|Chakdah|DEWLI|Chak Tengra (149)|0|
4449|NORTH 24 PARAGANAS|Hasnabad|HASNABAD|Chak Tengramari (55)|613|
4450|PURBA BARDHAMAN|Galsi - I|CHAK TENTUL|Chak Tentul (0)|1,135|
4451|HOWRAH|Udaynarayanpur|SINGTI|Chak Thakurani (39)|218|
4452|BANKURA|Onda|NAKAIJURI|Chak Tunka (274)|111|
4453|BANKURA|Vishnupur|BELSULIA|Chak Uparsol (160)|1,406|
4454|PASCHIM MEDINIPUR|Debra|RADHAMOHANPUR-I|Chak Urdhab (196)|117|
4455|NADIA|Chapra|HATKHOLA|Chak-Hudapara (20)|0|
4456|HOOGHLY|Singur|GOPALNAGAR|Chak.Gobinda (15)|524|
4457|HOOGHLY|Singur|BERABERI|Chak.Kalikabari (1)|236|
4458|BANKURA|Khatra|DHANARA|Chaka (237)|273|
4459|SOUTH 24 PARAGANAS|Falta|GOPALPUR|Chaka (50)|541|
4460|BANKURA|Raipur|DHEKO|Chaka (327)|298|
4461|BANKURA|Chhatna|METYALA|Chaka (211)|254|
4462|BANKURA|Hirbandh|MOSHIARA|Chaka Doba (58)|97|
4463|BANKURA|Indpur|INDPUR|Chakadoba (144)|6|
4464|BANKURA|Hirbandh|HIRBANDH|Chakadoba (73)|57|
4465|UTTAR DINAJPUR|Goalpokhar - II|CHAKULIA|Chakalia (9)|492|
4466|NORTH 24 PARAGANAS|Barasat - II|DADPUR|Chakaminpur (159)|590|
4467|DAKSHIN DINAJPUR|Balurghat|AMRIT KHANDA|Chakamod (270)|128|
4468|HOWRAH|Bally Jagachha|CHAMRAIL|Chakapara (CT) (0)|18|
4469|SOUTH 24 PARAGANAS|Baruipur||Chakar Bar (48)|316|
4470|SOUTH 24 PARAGANAS|Baruipur|KALYANPUR|Chakar Bar (48)|316|
4471|DAKSHIN DINAJPUR|Gangarampur|ASOKEGRAM|Chakashan (174)|42|
4472|BANKURA|Saltora|TILURI|Chakbaga (22)|32|
4473|SOUTH 24 PARAGANAS|Bishnupur - I|PURBA BISHNUPUR|Chakbagi (76)|439|
4474|SOUTH 24 PARAGANAS|Bishnupur - I||Chakbagi (76)|439|
4475|MURSHIDABAD|Suti - I|SADIKPUR|Chakbahadurpur (97)|347|
4476|PASCHIM MEDINIPUR|Debra|RADHAMOHANPUR-I|Chakbalbhadrapur (197)|83|
4477|JHARGRAM|Binpur - II|SILDA|Chakbali (236)|0|
4478|JHARGRAM|Binpur - II|SILDA|Chakbankata (241)|0|
4479|NORTH 24 PARAGANAS|Amdanga|TARABERIA|Chakbelu (71)|0|
4480|PASCHIM MEDINIPUR|Keshiary|BAGHASTY|Chakbila (93)|261|
4481|COOCHBEHAR|Cooch Behar - II|CHAKCHAKA|Chakchaka (CT) (107)|2,072|
4482|JHARGRAM|Binpur - I|DAHIJURI|Chakchalta (971)|297|
4483|NADIA|Krishnagar - I|DIGNAGAR|Chakchapra (79)|142|
4484|BANKURA|Vishnupur|BHORA|Chakchua Masina (19)|75|
4485|BIRBHUM|Suri - I|MALLICKPUR|Chakdaha (120)|205|
4486|HOOGHLY|Tarakeswar|ASTRA DUTTAPUR|Chakdaha (82)|314|
4487|PURBA BARDHAMAN|Mangolkote|LAKHURIA|Chakdaha (39)|179|
4488|DAKSHIN DINAJPUR|Hilli|DHALPARA|Chakdapat (36)|441|
4489|DAKSHIN DINAJPUR|Kushmundi|KALIKAMORA|Chakdarbaru (133)|33|
4490|NADIA|Ranaghat - II|ANISHMALI|Chakdebagram (104)|63|
4491|DAKSHIN DINAJPUR|Kushmundi|KALIKAMORA|Chakdhapara (129)|281|
4492|SOUTH 24 PARAGANAS|Bishnupur - I|DAKSHIN GOURIPUR CHAKDIHI|Chakdhir (102)|372|
4493|SOUTH 24 PARAGANAS|Bishnupur - I||Chakdhir (102)|372|
4494|PURBA MEDINIPUR|Ramnagar - II|DEPAL|Chakghuli (25)|147|
4495|NADIA|Chakdah|GHETUGACHHI|Chakgobindapur (118)|0|
4496|BANKURA|Onda|KALYANI|Chakgopalpur (16)|60|
4497|DAKSHIN DINAJPUR|Balurghat|PATIRAM|Chakhay (185)|263|
4498|MURSHIDABAD|Beldanga - I|BEGUNBARI|Chakhijli (57)|1,017|
4499|JALPAIGURI|Rajganj|BINAGURI|Chakiabhita (17)|1,194|
4500|COOCHBEHAR|Mathabhanga - II|NISHIGANJ-I|Chakiar Chhara (175)|1,585|
4501|DAKSHIN DINAJPUR|Balurghat|CHINGISHPUR|Chakismail (283)|77|
4502|SOUTH 24 PARAGANAS|Magrahat - II|MOHANPUR|Chakiswari (28)|397|
4503|SOUTH 24 PARAGANAS|Magrahat - II||Chakiswari (28)|397|
4504|NORTH 24 PARAGANAS|Gaighata|RAMNAGAR|Chakjhaudanga (99)|92|
4505|NORTH 24 PARAGANAS|Hasnabad|MAKHALGACHHA|Chakk Uliadanga (28)|154|
4506|BANKURA|Patrasayer|BALSI-II|Chakkabir (133)|175|
4507|DAKSHIN DINAJPUR|Balurghat|JALGHAR|Chakkasi (92)|209|
4508|PURBA MEDINIPUR|Tamluk|ANANTAPUR-I|Chakkasmali (118)|300|
4509|NORTH 24 PARAGANAS|Habra - I|PRITHIBA G.P|Chakkultala (129)|541|
4510|NORTH 24 PARAGANAS|Deganga|CHAKLA|Chakla (52)|1,586|
4511|PASCHIM MEDINIPUR|Keshiary|BAGHASTY|Chakla (103)|374|
4512|HOOGHLY|Pandua|ILSOVA-DASPUR|Chaklai (149)|274|
4513|PURULIA|Puncha|PUNCHA|Chaklalpur (57)|35|
4514|PURBA MEDINIPUR|Haldia|DEULPOTA|Chaklalpur (63)|700|
4515|MALDAH|Kaliachak - III|AKANDABARIA|Chaklalu (184)|378|
4516|MALDAH|Habibpur|BAIDYAPUR|Chakli (52)|822|
4517|SOUTH 24 PARAGANAS|Diamond Harbour - II|NOORPUR|Chakloknath (31)|379|
4518|PASCHIM MEDINIPUR|Sabang|MOHAR|Chakmadhab (263)|100|
4519|PASCHIM MEDINIPUR|Kharagpur - II|CHAK MAKRAMPUR|Chakmakrampur (394)|1,329|
4520|MURSHIDABAD|Suti - II|LAXMIPUR|Chakmeghoan (CT) (70)|813|
4521|PURBA MEDINIPUR|Chandipur|BRINDABANPUR-II|Chaknan (47)|462|
4522|BANKURA|Sarenga|CHILTORE|Chaknara (112)|147|
4523|PASCHIM MEDINIPUR|Kharagpur - II|PALSHYA|Chaknarayan (621)|91|
4524|PURBA MEDINIPUR|Egra - I|JUMKI.|Chaknath (94)|69|
4525|NADIA|Krishnagar - I|BHALUKA|Chakpansila (70)|0|
4526|DAKSHIN DINAJPUR|Balurghat|BHATPARA|Chakram (127)|347|
4527|HOOGHLY|Goghat - II|BADANGANJ FULUI-II|Chakran (148)|120|
4528|DAKSHIN DINAJPUR|Gangarampur|JAHANGIRPUR|Chakrapanipur (115)|146|
4529|BANKURA|Simlapal|MONDALGRAM|Chakrasol (196)|253|
4530|NADIA|Ranaghat - II|ANISHMALI|Chaksaarisadanga (101)|159|
4531|MURSHIDABAD|Suti - I|NURPUR|Chaksaiyadpur (87)|450|
4532|MALDAH|Harischandrapur - II|SULTAN NAGAR|Chaksatan (122)|314|
4533|PASCHIM MEDINIPUR|Kharagpur - II|CHAK MAKRAMPUR|Chaksatbangi (590)|91|
4534|NORTH 24 PARAGANAS|Barasat - II|SASHON|Chakshason (195)|74|
4535|DAKSHIN DINAJPUR|Gangarampur|CHALOON|Chakshri (140)|100|
4536|NADIA|Krishnagar - I|BHALUKA|Chaksijaipur (71)|189|
4537|NADIA|Chapra|MAHESHPUR|Chaksimulia (51)|0|
4538|PURBA MEDINIPUR|Tamluk|ANANTAPUR-I|Chaksiruradha (119)|399|
4539|DAKSHIN DINAJPUR|Hilli|BINSHIRA|Chaksubid (61)|159|
4540|MALDAH|Habibpur|KANTURKA|Chaksukur (96)|395|
4541|BANKURA|Chhatna|SALDIHA|Chaktamakgara (229)|0|
4542|PASCHIM MEDINIPUR|Salbani|SALBONI|Chaktarini (401)|853|
4543|NADIA|Chakdah|MADANPUR-II|Chaktarinipur (40)|45|
4544|NADIA|Chakdah|DUBRA|Chaku Danga (165)|329|
4545|JHARGRAM|Jhargram|NEDABAHARA|Chakua (827)|87|
4546|PURBA BARDHAMAN|Burdwan - II|NABASTHA-I|Chakundi (22)|537|
4547|NADIA|Kaliganj|RAJARAMPUR GHORAIKSHETRA|Chakundi (101)|784|
4548|BANKURA|Onda|RATANPUR|Chakuparsol (32)|17|
4549|DAKSHIN DINAJPUR|Hilli|PANJUL|Chakurpai (16)|228|
4550|JALPAIGURI|Matiali|MATALIHAT|Chalauni Tea Garden (7)|1,023|
4551|PASCHIM BARDHAMAN|Raniganj|JEMARI|Chalbalpur (7)|1,092|
4552|PURBA BARDHAMAN|Jamalpur|BERUGRAM|Chalbalpur (5)|144|
4553|BANKURA|Bankura - I|ANDARTHOLE|Chalia Barkra (145)|9|
4554|NORTH 24 PARAGANAS|Hasnabad|MURARISHA|Chalitabaria (24)|1,132|
4555|HOWRAH|Shyampur - II|DEHI MANDALGHAT-II|Chalitapara (72)|1,078|
4556|PASCHIM MEDINIPUR|Sabang|NOWGAN|Chalk Gopinath (304)|267|
4557|BANKURA|Hirbandh|GOPALPUR|Chalka (2)|123|
4558|NORTH 24 PARAGANAS|Bongaon|GOPALNAGAR-II|Chalki (103)|1,366|
4559|BANKURA|Ranibundh|BARIKUL|Chalkigara (174)|195|
4560|BANKURA|Barjora|BELIATORE|Challa (131)|25|
4561|UTTAR DINAJPUR|Itahar|ITAHAR|Chalnia (81)|410|
4562|JALPAIGURI|Matiali|MATIALI BATABARI-I|Chalsa Mahabari (CT) (16)|1,276|
4563|PURBA MEDINIPUR|Khejuri - II|JANKA|Chalta Talya (62)|180|
4564|HOWRAH|Amta - I|KHOSALPUR|Chaltakhali (165)|781|
4565|BANKURA|Ranibundh|RUDRA|Chaltha (71)|103|
4566|MURSHIDABAD|Berhampore|BHAKURI-II|Chaltia (81)|7,050|
4567|MURSHIDABAD|Berhampore|BHAKURI-I|Chaltia (81)|7,050|
4568|SOUTH 24 PARAGANAS|Falta|CHALUARY|Chaluary (118)|1,240|
4569|DAKSHIN DINAJPUR|Gangarampur|CHALOON|Chalun (155)|569|
4570|DAKSHIN DINAJPUR|Gangarampur|UDAY|Chalunda (184)|258|
4571|BANKURA|Bankura - I|ANDARTHOLE|Chamkara (121)|0|
4572|BANKURA|Chhatna|CHHATNA-I|Chamkara (99)|64|
4573|BANKURA|Sarenga|NETURPUR|Chamkura (36)|7|
4574|SOUTH 24 PARAGANAS|Bishnupur - I||Chamni (142)|491|
4575|SOUTH 24 PARAGANAS|Bishnupur - I|BHANDARIA|Chamni (142)|491|
4576|MALDAH|Habibpur|AKTAIL|Champadighi (23)|83|
4577|PURBA BARDHAMAN|Purbasthali - I|SAMUDRAGARH|Champahati (136)|2,385|
4578|HOOGHLY|Pandua|SIMLAGARH-VITASIN|Champahati (52)|1,166|
4579|SOUTH 24 PARAGANAS|Baruipur|CHAMPAHATI|Champahati (CT) (24)|6,717|
4580|SOUTH 24 PARAGANAS|Baruipur||Champahati (CT) (24)|6,717|
4581|PURBA MEDINIPUR|Nandigram - I|HARIPUR|Champai Nagar (215)|162|
4582|PURBA MEDINIPUR|Bhagawanpur - II|BASUDEVBERIA|Champai Nagar (271)|145|
4583|PURBA MEDINIPUR|Deshopran|BAMUNIA|Champainagar (593)|202|
4584|JHARGRAM|Jhargram|BUNDHGORA|Champasol (503)|110|
4585|NORTH 24 PARAGANAS|Deganga|CHAMPATAIA|Champatala (92)|1,653|
4586|JHARGRAM|Binpur - II|SILDA|Champati (232)|5|
4587|HOWRAH|Bally Jagachha|CHAMRAIL|Chamrail (CT) (0)|2,286|
4588|NORTH 24 PARAGANAS|Bongaon|AKAIPUR|Chamta (16)|804|
4589|DARJEELING|Matigara|PATHARGHATA|Chamta (26)|738|
4590|COOCHBEHAR|Tufanganj - I|NAKKATIGACHH|Chamta (92)|1,732|
4591|COOCHBEHAR|Sitai|CHAMTA|Chamta (51)|2,401|
4592|BANKURA|Raipur|FULKUSHMA|Chamtabaid (312)|90|
4593|JALPAIGURI|Dhupguri|SALBARI-II|Chamtimukhi (D) (43)|1,085|
4594|JHARGRAM|Binpur - I|DHARAMPUR|Chamtyara (803)|236|
4595|DAKSHIN DINAJPUR|Gangarampur|GANGARAMPUR|Chamuk (104)|72|
4596|MURSHIDABAD|Sagardighi|BALIA|Chamunda (150)|612|
4597|MURSHIDABAD|Lalgola|MAIYA|Chamunda (27)|218|
4598|JALPAIGURI|Dhupguri|CHAMURCHI|Chamurchi Tea Garden (D) (4)|1,516|
4599|JALPAIGURI|Dhupguri|SALBARI-I|Chanadipa (D) (34)|895|
4600|PURBA BARDHAMAN|Mangolkote|CHANAK|Chanak (27)|554|
4601|DAKSHIN DINAJPUR|Tapan|GOFANAGAR|Chanchai (264)|50|
4602|MALDAH|Chanchal - I|CHANCHAL|Chanchal (CT) (70)|1,478|
4603|BANKURA|Vishnupur|BANKADAHA|Chanchar (144)|283|
4604|HOOGHLY|Arambag|MADHABPUR|Chand Chak (92)|154|
4605|PURBA MEDINIPUR|Mahisadal|NATSHAL-II|Chand Khanda (153)|80|
4606|NADIA|Chakdah|KANCHRAPARA|Chand Mari (P) (78)|3,116|
4607|NADIA|Haringhata|NAGARUKHRA-II|Chanda (89)|1,042|
4608|SOUTH 24 PARAGANAS|Diamond Harbour - I|BASULDANGA|Chanda (139)|587|
4609|NORTH 24 PARAGANAS|Bongaon|GANRAPOTA|Chanda (54)|841|
4610|HOOGHLY|Polba - Dadpur|HARIT|Chanda (87)|215|
4611|BIRBHUM|Mohammad Bazar|BHARKATA|Chanda (2)|530|
4612|BANKURA|Onda|NAKAIJURI|Chanda Bila (285)|217|
4613|MURSHIDABAD|Nawda|KEDARCHANDPUR-I|Chandabad (3)|574|
4614|MURSHIDABAD|Murshidabad Jiaganj|MUKUNDAPUR|Chandabag (52)|66|
4615|SOUTH 24 PARAGANAS|Diamond Harbour - II|KHORDA|Chandabamuntala (60)|460|
4616|JHARGRAM|Binpur - I|RAMGARH|Chandabila (621)|57|
4617|PASCHIM MEDINIPUR|Salbani|BISHNUPUR|Chandabila (344)|213|
4618|BANKURA|Vishnupur|BELSULIA|Chandabila (115)|108|
4619|JHARGRAM|Binpur - I|BOITA|Chandabila (621)|57|
4620|JHARGRAM|Jamboni|GIDHNI|Chandabila (109)|277|
4621|PASCHIM MEDINIPUR|Midnapore|DHARUA|Chandabila (25)|124|
4622|PASCHIM MEDINIPUR|Sabang|SARTTA|Chandagobra (331)|255|
4623|BANKURA|Barjora|PAKHANNAA|Chandai (66)|572|
4624|PURBA BARDHAMAN|Bhatar|BONPAS|Chandai (23)|339|
4625|BANKURA|Barjora|BELIATORE|Chandaibot Ramchandrapur (156)|510|
4626|UTTAR DINAJPUR|Kaliaganj|BOCHADANGA|Chandail (136)|380|
4627|JHARGRAM|Nayagram|PATINA|Chandal Bandh(Chamar Bandh) (17)|250|
4628|PURBA MEDINIPUR|Egra - II|PANIPARUL|Chandalda (206)|195|
4629|COOCHBEHAR|Cooch Behar - I|CHANDAMARI|Chandamari (176)|3,132|
4630|NADIA|Ranaghat - I|BARASAT|Chandan Daha (31)|489|
4631|NADIA|Krishnaganj|KRISHNAGANJ|Chandan Nagar (25)|1,594|
4632|PURBA MEDINIPUR|Nandigram - I|DAUDPUR|Chandan Nagar (232)|419|
4633|PASCHIM MEDINIPUR|Keshiary|KHAJRA|Chandana (47)|892|
4634|HOWRAH|Bagnan - II|MUG KALYANBENAPUR|Chandanapara (87)|1,292|
4635|MURSHIDABAD|Sagardighi|BARALA|Chandanbati (92)|623|
4636|SOUTH 24 PARAGANAS|Jaynagar - I|DHOSA CHANDANESWAR|Chandaneshwar (82)|871|
4637|SOUTH 24 PARAGANAS|Jaynagar - I||Chandaneshwar (82)|871|
4638|SOUTH 24 PARAGANAS|Bhangar - I|CHANDANESWAR-I|Chandaneswar (116)|1,471|
4639|SOUTH 24 PARAGANAS|Bhangar - I||Chandaneswar (116)|1,471|
4640|MALDAH|English Bazar|MAHADIPUR|Chandangar (131)|20|
4641|BANKURA|Khatra|KHATRA-I|Chandania (196)|72|
4642|SOUTH 24 PARAGANAS|Baruipur||Chandanpukur (60)|527|
4643|SOUTH 24 PARAGANAS|Baruipur|SIKHARBALI-II|Chandanpukur (60)|527|
4644|NADIA|Nakashipara|BILLWA GRAM|Chandanpur (66)|1,191|
4645|BIRBHUM|Bolpur Sriniketan|RAIPUR SUPUR|Chandanpur (110)|446|
4646|PURULIA|Manbazar - II|BORO JARAGORA|Chandanpur (204)|227|
4647|PURBA MEDINIPUR|Ramnagar - I|BADHIA|Chandanpur (17)|408|
4648|UTTAR DINAJPUR|Itahar|KAPASIA|Chandanpur (168)|685|
4649|PASCHIM MEDINIPUR|Debra|RADHAMOHANPUR-I|Chandanpur (198)|404|
4650|HOOGHLY|Jangipara|JANGIPARA|Chandanpur (33)|519|
4651|BIRBHUM|Suri - I|MALLICKPUR|Chandanpur (91)|109|
4652|PURBA MEDINIPUR|Contai - I|NAYAPUT|Chandanpur (364)|118|
4653|BANKURA|Khatra|DAHALA|Chandanpur (261)|106|
4654|PURBA MEDINIPUR|Ramnagar - I|BADHIA|Chandanpur Patna (13)|199|
4655|PURBA BARDHAMAN|Purbasthali - II|PILLA|Chandanpur Simuldanga (2)|177|
4656|PURBA MEDINIPUR|Ramnagar - I|TALGACHHARI-II|Chandapur (237)|450|
4657|UTTAR DINAJPUR|Raiganj|KAMALABARI-I|Chandar (154)|742|
4658|BANKURA|Saltora|SALMA|Chandbad (39)|78|
4659|UTTAR DINAJPUR|Kaliaganj|BHANDAR|Chandbari Mirzapur (107)|220|
4660|PURBA MEDINIPUR|Contai - III|DURMUTH|Chandbaria (376)|170|
4661|HOOGHLY|Haripal|DWARHATTA|Chandbati (44)|312|
4662|PURBA MEDINIPUR|Deshopran|AURAI|Chandberya (425)|586|
4663|SOUTH 24 PARAGANAS|Bishnupur - II|MOUKHALI|Chanddandaha (CT) (37)|2,760|
