|Sl No.|District|Block|Gram Panchayat|Village|Household|
67|PASCHIM MEDINIPUR|Dantan - II|SAURI KOTEBAR|Agabar Chak (257)|161|
68|DAKSHIN DINAJPUR|Kumarganj|RAMKRISHNAPUR|Agachha (52)|274|
69|NORTH 24 PARAGANAS|Baduria|JADURHATI DAKSHIN|Agapur (55)|210|
70|UTTAR DINAJPUR|Hemtabad|BANGALBARI|Agapur (91)|155|
71|BIRBHUM|Suri - I|BHURKUNA|Agar (126)|79|
72|PASCHIM MEDINIPUR|Pingla|MALIGRAM-V|Agarara (228)|267|
73|PASCHIM MEDINIPUR|Dantan - II|SAURI KOTEBAR|Agarbar (258)|358|
74|BANKURA|Onda|KANTABARI|Agarda (257)|449|
75|BANKURA|Onda|KANTABARI|Agarda Purusottampur (271)|570|
76|NORTH 24 PARAGANAS|Sandeshkhali - I|SARBERIA AGARHATI|Agarhati (9)|2,451|
77|PASCHIM MEDINIPUR|Midnapore|BANPURA|Agarpara (263)|219|
78|PASCHIM MEDINIPUR|Keshiary|KUSUMPUR|Agarpara (105)|235|
79|BANKURA|Sarenga|GARGARIA|Agaya (350)|129|
80|BANKURA|Chhatna|CHHATNA|Agaya (98)|185|
81|BANKURA|Bankura - I|JAGADALLA-II|Agaya (186)|193|
82|BANKURA|Bankura - II|NARRAH|Agayanandanpur (294)|220|
83|BANKURA|Onda|NAKAIJURI|Agayanandanpur (283)|178|
84|SOUTH 24 PARAGANAS|Diamond Harbour - II|PATRA|Agneshwar (101)|425|
85|UTTAR DINAJPUR|Goalpokhar - I|SAHAPUR-I|Agoi (155)|984|
86|BANKURA|Bankura - II|BIKNA|Agra (260)|49|
87|DAKSHIN DINAJPUR|Hilli|PANJUL|Agra (18)|340|
88|MALDAH|Habibpur|JAJAIL|Agra (84)|730|
89|PURBA BARDHAMAN|Kalna - II|AKALPOUSH|Agradaha (109)|337|
90|PURBA BARDHAMAN|Katwa - II|AGRADWIP|Agradwip (112)|3,804|
91|BANKURA|Vishnupur|BELSULIA|Agun Kumari (159)|215|
92|HOWRAH|Bagnan - I|HATURIA-II|Agunsi Bhuinara (46)|833|
93|BANKURA|Onda|PUNISOLE|Aguri Band Punisol (55)|4,539|
